---------------------------  data, labels -------------------------
['463' '2175' '231' '172']1
['463' '2175' '231' '172']1
['463' '2175' '231' '172']1
['1096' '1892' '155' '1702']1
['1096' '1892' '155' '1702']1
['287' '1610' '153' '1846']1
['309' '656' '265' '1907']1
['1943' '975' '225' '1810']1
['287' '1610' '153' '1846']1
['287' '1610' '153' '1846']1
['463' '2175' '231' '172']1
['1943' '975' '225' '1810']1
['1943' '1073' '184' '148']1
['1292' '2163' '305' '1701']1
['863' '2250' '242' '766']1
['1943' '2394' '271' '1781']1
['1310' '1109' '502' '1854']1
['1292' '289' '300' '893']1
['863' '2250' '242' '766']1
['1310' '1109' '502' '1854']1
['1943' '2394' '1739' '1027']1
['287' '1610' '153' '1846']1
['1783' '2050' '265' '1907']1
['444' '358' '273' '946']1
['863' '2250' '242' '766']1
['1400' '909' '265' '551']1
['1943' '975' '225' '1810']1
['1292' '289' '300' '893']1
['1292' '2163' '305' '1701']1
['309' '656' '265' '1907']1
['444' '358' '273' '946']1
['1400' '909' '265' '551']1
['1887' '645' '39' '1854']1
['1310' '1020' '192' '1440']1
['1783' '2050' '265' '1907']1
['863' '2250' '242' '766']1
['1292' '289' '300' '893']1
['1604' '2246' '265' '551']1
['287' '1613' '264' '1172']1
['1943' '975' '225' '1810']1
['863' '2250' '242' '766']1
['956' '1499' '299' '831']1
['560' '2142' '16' '1702']1
['1280' '287' '264' '1917']1
['287' '1614' '502' '1651']1
['1801' '1770' '265' '1272']1
['863' '2250' '242' '766']1
['1047' '374' '502' '1866']1
['287' '1613' '264' '1172']1
['1310' '1541' '319' '441']1
['1819' '2131' '183' '1868']1
['287' '1614' '502' '1651']1
['1943' '1146' '147' '1846']1
['1929' '2355' '147' '809']1
['1240' '956' '16' '1718']1
['1047' '1522' '264' '1456']1
['435' '1854' '105' '202']1
['287' '745' '96' '893']1
['1292' '2163' '305' '1701']1
['1310' '1020' '192' '1440']1
['1784' '1086' '147' '1846']1
['1093' '2105' '16' '70']1
['309' '656' '265' '1907']1
['475' '2160' '1009' '1530']1
['192' '1592' '110' '1892']1
['1096' '1892' '155' '1702']1
['560' '2142' '16' '1702']1
['1400' '909' '265' '551']1
['956' '1499' '299' '831']1
['1310' '2072' '147' '1846']1
['1887' '645' '39' '1854']1
['1310' '2072' '147' '1846']1
['1943' '1146' '147' '1846']1
['1466' '1174' '265' '1618']1
['1466' '1174' '265' '1618']1
['579' '584' '273' '405']1
['1784' '409' '29' '1810']1
['983' '1315' '129' '1513']1
['1783' '2050' '265' '1907']1
['1310' '1212' '129' '1336']1
['407' '2176' '319' '1707']1
['1943' '975' '225' '1810']1
['1783' '2050' '265' '1907']1
['1237' '1607' '129' '1846']1
['1278' '1625' '129' '1473']1
['1819' '2369' '265' '218']1
['475' '2160' '1009' '1530']1
['1240' '956' '16' '1718']1
['475' '2160' '1009' '1530']1
['287' '745' '96' '893']1
['1331' '1940' '268' '192']1
['956' '1499' '299' '831']1
['1093' '2105' '16' '70']1
['1801' '969' '265' '1056']1
['734' '534' '273' '141']1
['407' '2176' '319' '1707']1
['1887' '645' '39' '1854']1
['1292' '289' '300' '893']1
['1801' '969' '265' '1056']1
['200' '114' '106' '109']1
['560' '2142' '16' '1702']1
['1093' '2105' '16' '70']1
['734' '534' '273' '141']1
['407' '1749' '1008' '809']1
['1887' '645' '39' '1854']1
['1228' '1212' '299' '672']1
['1781' '1097' '278' '167']1
['1731' '1963' '265' '1717']1
['1943' '1146' '147' '1846']1
['1784' '2379' '11' '1702']1
['1310' '1616' '129' '1434']1
['1819' '2369' '265' '218']1
['983' '1315' '129' '1513']1
['1784' '1599' '169' '1168']1
['863' '2250' '242' '766']1
['287' '745' '96' '893']1
['1310' '1212' '129' '1336']1
['1096' '1892' '155' '1702']1
['1992' '1043' '39' '162']1
['435' '496' '118' '167']1
['1731' '1963' '265' '1717']1
['1929' '2355' '147' '809']1
['1819' '2369' '265' '218']1
['1819' '14' '39' '1056']1
['1784' '1086' '147' '1846']1
['336' '286' '265' '1056']1
['444' '358' '273' '946']1
['407' '1749' '1008' '809']1
['713' '2012' '51' '946']1
['344' '2172' '139' '1885']1
['369' '1615' '220' '903']1
['1047' '1522' '264' '1456']1
['1959' '1718' '1192' '1703']1
['407' '1749' '1008' '809']1
['1357' '1609' '1801' '446']1
['1150' '161' '320' '1702']1
['1310' '1020' '192' '1440']1
['407' '1749' '1008' '809']1
['1400' '909' '265' '551']1
['1310' '1076' '265' '1281']1
['935' '1795' '147' '946']1
['1979' '259' '15' '164']1
['1877' '2375' '147' '946']1
['1731' '1963' '265' '1717']1
['322' '1616' '320' '1702']1
['1237' '1607' '129' '1846']1
['1574' '1916' '27' '1509']1
['1096' '1892' '155' '1702']1
['475' '2160' '1009' '1530']1
['1047' '1783' '322' '1085']1
['1774' '2393' '147' '946']1
['1731' '1963' '265' '1717']1
['1774' '2393' '147' '946']1
['1994' '1001' '988' '47']1
['1047' '374' '502' '1866']1
['1584' '1948' '139' '1447']1
['983' '1315' '129' '1513']1
['1310' '284' '1' '1056']1
['1784' '1344' '1610' '804']1
['681' '1489' '502' '52']1
['1943' '975' '225' '1810']1
['444' '358' '273' '946']1
['1783' '2050' '265' '1907']1
['1992' '1043' '39' '162']1
['1515' '1614' '322' '1447']1
['287' '1783' '32' '250']1
['287' '745' '96' '893']1
['407' '1749' '1008' '809']1
['1357' '1609' '1801' '446']1
['309' '656' '265' '1907']1
['1310' '1515' '1160' '834']1
['1725' '314' '314' '1652']1
['1047' '1783' '322' '1085']1
['1784' '845' '4' '1702']1
['309' '656' '265' '1907']1
['1784' '1086' '188' '1058']1
['1819' '2131' '183' '1868']1
['1310' '1338' '862' '1068']1
['1310' '284' '1' '1056']1
['1943' '1146' '147' '1846']1
['956' '1499' '299' '831']1
['1400' '909' '265' '551']1
['659' '1503' '77' '1212']1
['1008' '880' '280' '858']1
['1408' '73' '129' '809']1
['1943' '2394' '1739' '1027']1
['1783' '1467' '234' '562']1
['1994' '1362' '406' '1702']1
['1310' '1338' '862' '1068']1
['1357' '1609' '1801' '446']1
['1093' '1784' '147' '1429']1
['475' '2160' '1009' '1530']1
['734' '534' '273' '141']1
['1424' '1214' '265' '1681']1
['1310' '1076' '265' '1281']1
['344' '241' '268' '946']1
['1736' '792' '265' '1144']1
['1237' '1607' '129' '1846']1
['287' '1614' '502' '1651']1
['1310' '2072' '147' '1846']1
['322' '1616' '320' '1702']1
['1943' '975' '225' '1810']1
['1187' '2077' '321' '1709']1
['1781' '1097' '278' '167']1
['159' '83' '299' '971']1
['287' '1802' '1008' '1846']1
['407' '2176' '319' '1707']1
['1819' '2131' '183' '1868']1
['1569' '1477' '257' '1539']1
['1095' '1526' '141' '52']1
['1911' '1860' '265' '1817']1
['1784' '1086' '147' '1846']1
['107' '94' '1007' '1718']1
['1332' '1757' '257' '1614']1
['344' '2172' '139' '1885']1
['1400' '909' '265' '551']1
['344' '1186' '305' '1916']1
['662' '882' '1396' '97']1
['1008' '565' '271' '1464']1
['1047' '374' '502' '1866']1
['1400' '909' '265' '551']1
['344' '241' '268' '946']1
['344' '241' '268' '946']1
['322' '592' '106' '1702']1
['107' '94' '1007' '1718']1
['124' '507' '139' '159']1
['1122' '1882' '146' '1702']1
['287' '1610' '153' '1846']1
['287' '1588' '502' '213']1
['498' '2393' '1795' '1876']1
['662' '882' '1396' '97']1
['1784' '1086' '188' '1058']1
['1959' '1718' '1192' '1703']1
['1736' '792' '265' '1144']1
['1142' '433' '922' '646']1
['1784' '2379' '139' '691']1
['1784' '1803' '265' '328']1
['1959' '1718' '1192' '1703']1
['344' '329' '375' '1707']1
['775' '815' '257' '1639']1
['287' '745' '305' '97']1
['1781' '1097' '278' '167']1
['1996' '831' '10' '849']1
['315' '833' '142' '1702']1
['1781' '1097' '278' '167']1
['1777' '2224' '502' '1706']1
['1994' '749' '1367' '47']1
['1237' '1607' '129' '1846']1
['1774' '2393' '147' '946']1
['1996' '489' '139' '130']1
['1996' '831' '10' '849']1
['1341' '1409' '299' '192']1
['1801' '969' '265' '1056']1
['287' '1613' '264' '1172']1
['1310' '1076' '265' '1281']1
['956' '1499' '299' '831']1
['983' '2318' '280' '1718']1
['1977' '1282' '265' '1420']1
['1310' '1020' '192' '1440']1
['407' '1749' '1008' '809']1
['498' '2393' '1795' '1876']1
['231' '2393' '1396' '1702']1
['754' '572' '162' '52']1
['1292' '289' '300' '893']1
